Movie Name,Gross collection,Stars,Genre,Votes
Uri: The Surgical Strike,$4.19M,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']","Action, Drama, History","68,274"
Sherlock Jr.,$0.98M,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']","Action, Comedy, Romance","53,084"
Rangasthalam 1985,$3.51M,"['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu']","Action, Drama","26,342"
The Mountain II,-,"['Caglar Ertugrul', 'Ufuk Bayraktar', 'Ahu Türkpençe', 'Murat Serezli']","Action, Drama, War","109,327"
Vikram Vedha,-,"['Pushkar', 'Gowtham Selvaraj', 'Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']","Action, Crime, Drama","48,190"
Paan Singh Tomar,$0.04M,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']","Action, Biography, Crime","37,175"
Mission: Impossible - Dead Reckoning Part One,-,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg']","Action, Adventure, Thriller","52,029"
Guardians of the Galaxy Vol. 3,-,"['Chris Pratt', 'Chukwudi Iwuji', 'Bradley Cooper', 'Pom Klementieff']","Action, Adventure, Comedy","215,302"
Pirates of the Caribbean: The Curse of the Black Pearl,$305.41M,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']","Action, Adventure, Fantasy","1,161,376"
The Terminator,$38.40M,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']","Action, Sci-Fi","891,557"
Blade Runner,$32.87M,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']","Action, Drama, Sci-Fi","792,912"
Mad Max: Fury Road,$154.06M,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']","Action, Adventure, Sci-Fi","1,036,883"
Ford v Ferrari,$117.62M,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']","Action, Biography, Drama","425,713"
Logan,$226.28M,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']","Action, Drama, Sci-Fi","794,207"
Rush,$26.95M,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']","Action, Biography, Drama","494,101"
Warrior,$13.66M,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']","Action, Drama, Sport","483,902"
How to Train Your Dragon,$217.58M,"['Chris Sanders', 'Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']","Animation, Action, Adventure","766,935"
"Lock, Stock and Two Smoking Barrels",$3.90M,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham']","Action, Comedy, Crime","597,859"
The Iron Giant,$23.16M,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']","Animation, Action, Adventure","212,035"
Neon Genesis Evangelion: The End of Evangelion,-,"['Kazuya Tsurumaki', 'Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura', 'Kotono Mitsuishi']","Animation, Action, Drama","59,315"
Bajrangi Bhaijaan,$8.18M,"['Mehmet Tutkun', 'Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']","Action, Adventure, Comedy","92,645"
The General,$1.03M,"['Buster Keaton', 'Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley']","Action, Adventure, Comedy","94,526"
The Hidden Fortress,-,"['Toshirô Mifune', 'Misa Uehara', 'Minoru Chiaki', 'Kamatari Fujiwara']","Action, Adventure, Drama","40,681"
White Heat,-,"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']","Action, Crime, Drama","34,490"
Hera Pheri,-,"['Akshay Kumar', 'Suniel Shetty', 'Paresh Rawal', 'Tabu']","Action, Comedy, Crime","69,853"
A Wednesday,-,"['Anupam Kher', 'Naseeruddin Shah', 'Veerendra Saxena', 'Mahesh Kanual']","Action, Crime, Drama","80,482"
Sholay,-,"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan']","Action, Adventure, Comedy","57,335"
Major,-,"['Adivi Sesh', 'Prakash Raj', 'Revathi', 'Saiee Manjrekar']","Action, Biography, Drama","30,754"
Sarfarosh,-,"['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre', 'Mukesh Rishi']","Action, Drama, Thriller","26,319"
Thuppakki,-,"['Joseph Vijay', 'Kajal Aggarwal', 'Vidyut Jammwal', 'Sathyan']","Action, Thriller","36,047"
Kaththi,-,"['Joseph Vijay', 'Samantha Ruth Prabhu', 'Neil Nitin Mukesh', 'Tota Roy Chowdhury']","Action, Drama","28,453"
Dune,$108.33M,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']","Action, Adventure, Drama","692,701"
Blade Runner 2049,$92.05M,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","Action, Drama, Mystery","611,169"
Guardians of the Galaxy,$333.18M,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']","Action, Adventure, Comedy","1,229,158"
Deadpool,$363.07M,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']","Action, Comedy","1,075,867"
The Revenant,$183.64M,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']","Action, Adventure, Drama","833,074"
The Avengers,$623.28M,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']","Action, Sci-Fi","1,422,759"
The Incredibles,$261.44M,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']","Animation, Action, Adventure","768,719"
Casino Royale,$167.45M,"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']","Action, Adventure, Thriller","674,039"
Akira,$0.55M,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']","Animation, Action, Drama","195,226"
Kill Bill: Vol. 2,$66.21M,"['Uma Thurman', 'David Carradine', 'Michael Madsen', 'Daryl Hannah']","Action, Crime, Thriller","777,762"
The Bourne Ultimatum,$227.47M,"['Matt Damon', 'Edgar Ramírez', 'Joan Allen', 'Julia Stiles']","Action, Mystery, Thriller","646,100"
Ip Man,-,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka-Tung Lam']","Action, Biography, Drama","229,281"
Baahubali: The Beginning,$6.74M,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']","Action, Drama","131,025"
Wolfwalkers,-,"['Ross Stewart', 'Honor Kneafsey', 'Eva Whittaker', 'Sean Bean', 'Simon McBurney']","Animation, Action, Adventure","35,721"
Infernal Affairs,$0.17M,"['Alan Mak', 'Andy Lau', 'Tony Leung Chiu-wai', 'Anthony Chau-Sang Wong', 'Eric Tsang']","Action, Crime, Drama","128,108"
Elite Squad,$0.01M,"['Wagner Moura', 'André Ramiro', 'Caio Junqueira', 'Milhem Cortaz']","Action, Crime, Drama","107,156"
Haider,$0.90M,"['Shahid Kapoor', 'Tabu', 'Shraddha Kapoor', 'Kay Kay Menon']","Action, Crime, Drama","56,273"
Elite Squad 2: The Enemy Within,$0.10M,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']","Action, Crime, Drama","84,982"
Tae Guk Gi: The Brotherhood of War,$1.11M,"['Jang Dong-Gun', 'Won Bin', 'Eun-ju Lee', 'Hyeong-jin Kong']","Action, Drama, War","40,451"
Sanjuro,-,"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô']","Action, Drama, Thriller","39,712"
Karthikeya 2,-,"['Nikhil Siddharth', 'Anupama Parameswaran', 'Srinivasa Reddy', 'Harsha Chemudu']","Action, Adventure, Fantasy","63,494"
Arjun Reddy,-,"['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana']","Action, Drama, Romance","26,443"
Andaz Apna Apna,-,"['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor']","Action, Comedy, Romance","54,345"
The Breath,-,"['Mete Horozoglu', 'Ilker Kizmaz', 'Birce Akalay', 'Ibrahim Akoz']","Action, Drama, Thriller","34,503"
1: Nenokkadine,-,"['Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat']","Action, Thriller","45,965"
Avatar,$760.51M,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']","Action, Adventure, Fantasy","1,352,983"
Zack Snyder's Justice League,-,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']","Action, Adventure, Fantasy","417,952"
Star Trek,$257.73M,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']","Action, Adventure, Sci-Fi","611,867"
Iron Man,$318.41M,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']","Action, Adventure, Sci-Fi","1,088,695"
Edge of Tomorrow,$100.21M,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']","Action, Adventure, Sci-Fi","704,187"
The Bourne Identity,$121.66M,"['Franka Potente', 'Matt Damon', 'Chris Cooper', 'Clive Owen']","Action, Mystery, Thriller","561,231"
X-Men: Days of Future Past,$233.92M,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy']","Action, Adventure, Sci-Fi","728,051"
Thor: Ragnarok,$315.06M,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Action, Adventure, Comedy","782,555"
The Blues Brothers,$57.23M,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']","Action, Adventure, Comedy","206,880"
Children of Men,$35.55M,"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']","Action, Drama, Sci-Fi","513,722"
"Crouching Tiger, Hidden Dragon",$128.08M,"['Chow Yun-Fat', 'Michelle Yeoh', 'Ziyi Zhang', 'Chang Chen']","Action, Adventure, Drama","276,444"
District 9,$115.65M,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']","Action, Sci-Fi, Thriller","697,823"
Ghost in the Shell,$0.52M,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka', 'Kôichi Yamadera']","Animation, Action, Crime","149,571"
A Fistful of Dollars,$14.50M,"['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch', 'Wolfgang Lukschy']","Action, Drama, Western","224,650"
The Wild Bunch,$12.06M,"['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien""]","Action, Adventure, Drama","87,837"
The Raid 2,$2.63M,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']","Action, Crime, Thriller","127,824"
Hero,$53.71M,"['Jet Li', 'Tony Leung Chiu-wai', 'Maggie Cheung', 'Ziyi Zhang']","Action, Adventure, Drama","184,855"
The Adventures of Robin Hood,$3.98M,"['William Keighley', 'Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone', 'Claude Rains']","Action, Adventure, Romance","53,044"
A Taxi Driver,$1.53M,"['Song Kang-ho', 'Thomas Kretschmann', 'Hae-Jin Yoo', 'Ryu Jun-Yeol']","Action, Drama, History","27,885"
Baby,-,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']","Action, Crime, Thriller","58,973"
Vishwaroopam,-,"['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose']","Action, Thriller","40,612"
Airlift,-,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']","Action, Drama, History","57,978"
John Wick: Chapter 4,-,"['Keanu Reeves', 'Laurence Fishburne', 'George Georgiou', 'Lance Reddick']","Action, Crime, Thriller","241,449"
Everything Everywhere All at Once,$72.86M,"['Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Ke Huy Quan']","Action, Adventure, Comedy","462,744"
The Batman,$369.35M,"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell']","Action, Crime, Drama","710,760"
The Gentlemen,$36.47M,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']","Action, Comedy, Crime","364,645"
Dunkirk,$188.37M,"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']","Action, Drama, History","688,694"
All Quiet on the Western Front,-,"['Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus']","Action, Drama, War","212,963"
Drive,$35.06M,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks']","Action, Drama","670,163"
Star Wars: Episode VII - The Force Awakens,$936.66M,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']","Action, Adventure, Sci-Fi","951,046"
Hot Fuzz,$23.64M,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Bill Nighy']","Action, Comedy, Mystery","520,123"
RRR,$14.50M,"['N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt']","Action, Drama","153,315"
Predator,$59.74M,"['Arnold Schwarzenegger', 'Carl Weathers', 'Kevin Peter Hall', 'Elpidia Carrillo']","Action, Adventure, Horror","437,345"
Rogue One: A Star Wars Story,$532.18M,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']","Action, Adventure, Sci-Fi","661,409"
Apocalypto,$50.87M,"['Gerardo Taracena', 'Raoul Max Trujillo', 'Dalia Hernández', 'Rudy Youngblood']","Action, Adventure, Drama","321,495"
Ghostbusters,$238.63M,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']","Action, Comedy, Fantasy","428,079"
The Fugitive,$183.88M,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']","Action, Crime, Drama","306,418"
Captain America: Civil War,$408.08M,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']","Action, Sci-Fi","817,789"
Captain Phillips,$107.10M,"['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Catherine Keener']","Action, Biography, Crime","476,486"
Skyfall,$304.36M,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris', 'Judi Dench']","Action, Adventure, Thriller","712,625"
Taken,$145.00M,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser']","Action, Crime, Thriller","617,135"
The Last Samurai,$111.11M,"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']","Action, Drama","454,542"
Captain America: The Winter Soldier,$259.77M,"['Joe Russo', 'Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford']","Action, Adventure, Sci-Fi","871,908"
I Saw the Devil,$0.13M,"['Lee Byung-hun', 'Choi Min-sik', 'Jeon Gook-hwan', 'Ho-jin Chun']","Action, Crime, Thriller","138,406"
Big Hero 6,$222.53M,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller']","Animation, Action, Adventure","480,437"
Thirteen Lives,-,"['Viggo Mortensen', 'Colin Farrell', 'Joel Edgerton', 'Tom Bateman']","Action, Adventure, Biography","61,969"
Serenity,$25.51M,"['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']","Action, Adventure, Sci-Fi","301,063"
How to Train Your Dragon 2,$177.00M,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']","Animation, Action, Adventure","350,076"
The Fighter,$93.62M,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']","Action, Biography, Drama","378,741"
Jujutsu Kaisen 0,$34.54M,"['Chinatsu Akasaki', 'Aya Endô', 'Kana Hanazawa', 'Show Hayami']","Animation, Action, Fantasy","25,202"
Letters from Iwo Jima,$13.76M,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryo Kase']","Action, Adventure, Drama","166,794"
"Aguirre, the Wrath of God",-,"['Klaus Kinski', 'Ruy Guerra', 'Helena Rojo', 'Del Negro']","Action, Adventure, Biography","59,495"
The Chaser,-,"['Kim Yoon-seok', 'Ha Jung-woo', 'Yeong-hie Seo', 'Kim Yoo-jeong']","Action, Crime, Drama","69,625"
Ninja Scroll,-,"['Kôichi Yamadera', 'Emi Shinohara', 'Takeshi Aono', 'Osamu Saka']","Animation, Action, Adventure","39,131"
Batman: Mask of the Phantasm,$5.62M,"['Boyd Kirkland', 'Frank Paur', 'Dan Riba', 'Eric Radomski', 'Bruce Timm', 'Kevin Conroy', 'Dana Delany', 'Hart Bochner', 'Stacy Keach']","Animation, Action, Adventure","53,953"
The Killer,-,"['Chow Yun-Fat', 'Danny Lee', 'Sally Yeh', 'Kong Chu']","Action, Crime, Drama","49,764"
Cowboy Bebop: The Movie,$1.00M,"['Mary Elizabeth McGlynn', 'Tensai Okamura', 'Hiroyuki Okiura', 'Yoshiyuki Takei', 'Beau Billingslea', 'Melissa Fahn', 'Nicholas Guest', 'Kôichi Yamadera']","Animation, Action, Crime","50,928"
Knockin' on Heaven's Door,$0.00M,"['Til Schweiger', 'Jan Josef Liefers', 'Thierry van Werveke', 'Moritz Bleibtreu']","Action, Crime, Comedy","32,306"
Minnal Murali,-,"['Tovino Thomas', 'Guru Somasundaram', 'Aju Varghese', 'Baiju']","Action, Comedy, Drama","31,361"
Mission: Impossible - Fallout,$220.16M,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']","Action, Adventure, Thriller","352,246"
Kingsman: The Secret Service,$128.26M,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']","Action, Adventure, Comedy","691,123"
The Count of Monte Cristo,$54.23M,"['Jim Caviezel', 'Guy Pearce', 'Christopher Adamson', 'JB Blanc']","Action, Adventure, Drama","143,524"
Black Hawk Down,$108.64M,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']","Action, Drama, History","409,679"
First Blood,$47.21M,"['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']","Action, Adventure, Thriller","264,069"
3:10 to Yuma,$53.61M,"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']","Action, Crime, Drama","322,230"
The Last of the Mohicans,$75.51M,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']","Action, Adventure, Drama","178,807"
Star Trek Into Darkness,$228.78M,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']","Action, Adventure, Sci-Fi","490,569"
X-Men: First Class,$146.41M,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon']","Action, Sci-Fi","707,620"
The Lego Movie,$257.76M,"['Christopher Miller', 'Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett']","Animation, Action, Adventure","373,397"
Man on Fire,$77.91M,"['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']","Action, Crime, Drama","373,779"
Training Day,$76.63M,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger']","Action, Crime, Drama","452,844"
